abbrev:keyword,name:text,scalerank:integer,type:keyword,location:cartesian_point
TAI,Ta'izz Int'l,7,mid,POINT(4913061.539893586 1538158.9292770089)
TAO,Qingdao Liuting Int'l,7,mid,POINT(13400716.661194453 4337527.2570991535)
TKK,Chuuk Int'l,7,mid,POINT(16902979.245892506 832532.2878718402)
TNG,Tangier Ibn Battouta,7,mid,POINT(-658218.8882998485 4262952.461339153)
TRW,Bonriki Int'l,7,mid,POINT(19274523.52822974 153710.21304974618)
TSE,Astana Int'l,7,major,POINT(7954995.913270655 6626059.647523059)
TSN,Tianjin Binhai Int'l,7,major,POINT(13063645.385366186 4740232.750603333)
TUC,Teniente Gen. Benjamin Matienzo Int'l,7,mid,POINT(-7247803.279606909 -3102963.45676297)
TUN,Aeroport Tunis,7,major,POINT(1137429.0770000557 4417864.313958366)
TUS,Tucson Int'l,7,major,POINT(-12349529.746771142 3779119.131277403)
ULN,Chinggis Khaan Int'l,7,mid,POINT(11884788.768741926 6082355.405563132)
URC,Ürümqi Diwopu Int'l,7,major,POINT(9736796.355915418 5449723.243382809)
VLI,Bauerfield Int'l,7,mid,POINT(18737254.693895087 -2002662.2875210827)
WWK,Wewak Int'l,7,mid,POINT(15993171.310729112 -398808.6502783647)
XMN,Xiamen Gaoqi Int'l,7,major,POINT(13149834.020969763 2819005.3334833384)
YAP,Yap Int'l,7,mid,POINT(15371711.104633339 1062179.246843793)
ZLO,Playa de Oro Int'l,7,mid,POINT(-11639576.554971006 2172378.4273351827)
CAY,Cayenne – Rochambeau,7,mid,POINT(-5829112.315344805 537335.497998322)
UIII,Irkutsk N.W.,7,mid,POINT(11599196.977553647 6865782.00373984)
SJW,Shijiazhuang Zhengding Int'l,7,major,POINT(12767484.71571615 4618792.651434057)
GYD,Heydar Aliyev Int'l,7,major,POINT(5571522.645949029 4933417.026045506)
CFB,Cabo Frio Int'l,7,mid,POINT(-4684240.877996653 -2623027.5249208915)
HEM,Helsinki-Malmi,7,mid,POINT(2788056.2440145654 8455469.633769127)
LUX,Luxembourg-Findel,7,major,POINT(692008.8444649252 6383182.97865069)
VCE,Venice Marco Polo,7,major,POINT(1373801.3277301549 5701352.694091503)
YNY,Yangyang Int'l,7,mid,POINT(14322698.382555997 4587733.128111555)
TBT,Tabatinga Int'l,7,mid,POINT(-7785626.624672179 -473578.5300370567)
BVB,Boa Vista Int'l,7,mid,POINT(-6756227.096075219 316410.1201485046)
LPA,Gran Canaria,7,major,POINT(-1713198.560450905 3241019.3864272083)
ING,Com. Armando Tola Int'l,7,mid,POINT(-8020998.660927022 -6495588.415151117)
NYO,Stockholm-Skavsta,7,mid,POINT(1883704.5141685435 8134083.898609498)
MES,Polonia Int'l,7,mid,POINT(10984583.510474388 397287.84167945426)
BGF,Bangui M'Poko Int'l,7,mid,POINT(2062096.0099064007 490159.67590257555)
HGH,Hangzhou Xiaoshan Int'l,7,major,POINT(13406439.755097099 3533816.8107512025)
CXI,Cassidy Int'l,7,mid,POINT(-17516097.151531324 221142.74757068782)
SQQ,Šiauliai Int'l,7,mid,POINT(2603004.645166201 7539282.67806727)
IUE,Niue Int'l,7,mid,POINT(-18916090.23893756 -2163969.7053835443)
AGT,Guaraní Int'l,7,mid,POINT(-6104694.031044648 -2931964.4005073807)
AQP,Rodríguez Ballón Int'l,7,mid,POINT(-7966905.918635838 -1844658.508676942)
PRN,Pristina,7,major,POINT(2341078.8377142325 5249021.444376864)
ANR,Deurne,6,mid,POINT(495474.4567617634 6654816.798110057)
LAP,Gen. Márquez de León Int'l,6,mid,POINT(-12286020.26603441 2762682.794954582)
HRB,Harbin Taiping,6,major,POINT(14052636.670274785 5719757.353706103)
TRV,Trivandrum Int'l,6,mid,POINT(8562573.065500375 947061.8445487191)
ADB,Adnan Menderes,6,major,POINT(3022245.983700102 4620649.60509541)
NKG,Nanjing Lukou Int'l,6,major,POINT(13232113.963574817 3728617.8352103615)
FPO,Freeport Int'l,6,mid,POINT(-8761281.890977832 3067143.6374498503)
TIP,Tripoli Int'l,6,major,POINT(1463212.21662777 3851473.635896816)
YQX,Gander Int'l,6,mid,POINT(-6075324.874701395 6265805.045828414)
ABQ,Albuquerque Int'l,6,major,POINT(-11868515.102256078 4170563.5012235222)
ANU,V.C. Bird Int'l,6,mid,POINT(-6878694.903916862 1937169.899469179)
APW,Faleolo,6,mid,POINT(-19146654.327152207 -1555006.8367732386)
ATZ,Asyut,6,mid,POINT(3452713.0498732966 3129821.9526517875)
BAH,Bahrain Int'l,6,major,POINT(5635660.861027672 3032522.616286349)
BDL,Bradley Int'l,6,major,POINT(-8091301.130936581 5150546.8283608835)
BGI,Grantley Adams Int'l,6,mid,POINT(-6622109.180032715 1468834.8298397462)
BJL,Yundum Int'l,6,mid,POINT(-1853727.0337250433 1499045.0010975497)
BJM,Bujumbura Int'l,6,mid,POINT(3263997.0103294738 -370015.6602307333)
BLZ,Chileka Int'l,6,mid,POINT(3893059.018590655 -1767854.5001858468)
BME,Broome Int'l,6,mid,POINT(13607009.997033369 -2031998.4098272626)
BND,Bandar Abbass Int'l,6,mid,POINT(6274955.736911527 3149773.84868117)
BSR,Basrah Int'l,6,major,POINT(5306419.417106288 3574806.7582105543)
CJS,Ciudad Juarez Int'l,6,mid,POINT(-11848384.249120004 3715592.418746559)
CMB,Katunayake Int'l,6,major,POINT(8892786.169217823 801158.3816002631)
CNS,Cairns Int'l,6,mid,POINT(16225214.846172804 -1906481.8084950116)
CNX,Chiang Mai Int'l,6,major,POINT(11017080.514349962 2127740.252420455)
COS,City of Colorado Springs,6,major,POINT(-11655248.677721538 4692695.8242829)
CPE,Ign. Alberto Ongay Int'l,6,mid,POINT(-10074817.825470977 2251036.241428327)
CSX,Changsha Huanghua Int'l,6,major,POINT(12602930.864548087 3272939.761293922)
CVG,Greater Cincinnati Int'l,6,major,POINT(-9423881.727484405 4729612.966899267)
DAD,Da Nang,6,major,POINT(12045070.163087592 1810877.975522384)
DAL,Dallas Love Field,6,major,POINT(-10781277.518383406 3874672.1933670016)
DAM,Damascus Int'l,6,major,POINT(4064596.931310203 3950043.5050990772)
DAV,Enrique Malek Int'l,6,mid,POINT(-9176261.3632622 937468.2344106183)
DIR,Aba Tenna D. Yilma Int'l,6,mid,POINT(4659584.164069928 1075134.0681996795)
DPS,Bali Int'l,6,major,POINT(12819811.150600947 -977263.4484991981)
DSM,Des Moines Int'l,6,major,POINT(-10424899.020633116 5091248.620985529)
EBB,Entebbe Int'l,6,mid,POINT(3611511.224070954 5002.804114694496)
FKI,Kisangani Bangoka Int'l,6,mid,POINT(2819752.923880007 54794.9256193094)
FOC,Fuzhou Changle Int'l,6,mid,POINT(13321385.702380756 2990639.416433904)
GAU,Lokpriya G. Bordoloi Int'l,6,mid,POINT(10195555.021415079 3012122.158586034)
GDN,Gdansk Lech Walesa,6,major,POINT(2055897.583295918 7242589.051225524)
GND,Point Salines Int'l,6,mid,POINT(-6877969.693178219 1346535.5994887853)
GOJ,Nizhny Novgorod Int'l,6,mid,POINT(4874639.726208561 7602046.889043493)
GYM,Gen. José M. Yáñez Int'l,6,mid,POINT(-12347741.737370215 3245123.359448489)
HET,Hohhot Baita Int'l,6,mid,POINT(12447153.443595309 4990839.333622971)
HLN,Helena Reg.,6,mid,POINT(-12466658.296454819 5878679.980952085)
HMO,Gen. Ignacio P. Garcia Int'l,6,mid,POINT(-12362241.150184356 3387115.853910557)
IAD,Dulles Int'l,6,major,POINT(-8621448.832725875 4714909.1145619275)
ITO,Hilo Int'l,6,mid,POINT(-17258932.634703662 2239275.227556005)
JAN,Jackson Int'l,6,major,POINT(-10027114.112388613 3804079.9932397893)
JAX,Jacksonville Int'l,6,major,POINT(-9092974.16751545 3566866.3085019784)
KCH,Kuching Int'l,6,mid,POINT(12283197.11408071 165573.82391521157)
KGL,Kigali Int'l,6,mid,POINT(3354599.1425852366 -218635.81727042914)
KRK,Kraków-Balice,6,major,POINT(2204234.7085141954 6458799.948884591)
KUF,Kurumoch,6,major,POINT(5582368.062474931 7077594.627804628)
KWL,Guilin Liangjiang Int'l,6,major,POINT(12250364.147553366 2902496.320094184)
LAO,Laoag Int'l,6,mid,POINT(13417769.721492335 2058911.3483071644)
LGA,LaGuardia,6,major,POINT(-8223391.845423915 4979145.077158573)
LGW,London Gatwick,6,major,POINT(-18140.806687841443 6648891.672311942)
LJU,Ljubljana,6,major,POINT(1609102.3812974975 5817371.431276469)
LKO,Amausi Int'l,6,mid,POINT(9003984.837297449 3094009.1124208826)
LPG,La Plata,6,mid,POINT(-6444884.450607653 -4159199.717766613)
MAM,Gen. Sevando Canales,6,mid,POINT(-10857081.409642603 2970726.2244444657)
MAN,Manchester Int'l,6,major,POINT(-253070.56785998048 7050332.194180284)
MCI,Kansas City Int'l,6,major,POINT(-10543727.412002195 4764432.868334554)
MCT,Seeb Int'l,6,major,POINT(6488866.604611139 2703353.1666357466)
MIR,Habib Bourguiba Int'l,6,mid,POINT(1197059.4706727997 4267745.255641953)
MRS,Marseille Provence Airport,6,major,POINT(581241.2712448809 5379348.463539454)
NLD,Quetzalcoatl Int'l,6,mid,POINT(-11083859.971345954 3179767.747258902)
NNG,Nanning Wuwu Int'l,6,major,POINT(12041208.046387773 2585168.021510625)
OAX,Xoxocotlán Int'l,6,mid,POINT(-10767021.072484456 1920890.1412714333)
OGG,Kahului,6,mid,POINT(-17414535.00200481 2379158.9225228424)
OKC,Will Rogers,6,major,POINT(-10864350.131798934 4217728.367585358)
ORF,Norfolk Int'l,6,major,POINT(-8483037.583616761 4424932.157094424)
PBI,Palm Beach Int'l,6,major,POINT(-8915599.094680732 3084600.285946331)
PBM,Pengel Int'l,6,mid,POINT(-6144826.027689607 608279.097201853)
PEE,Bolshesavino,6,mid,POINT(6236068.92505864 7950482.8029074315)
PEN,Penang Int'l,6,mid,POINT(11161536.283915056 590015.50060982)
PHC,Port Harcourt Int'l,6,mid,POINT(773659.0426649383 558087.8629605463)
PHE,Port Hedland Int'l,6,mid,POINT(13206031.324724847 -2317879.5075577046)
PIR,Pierre Regional,6,mid,POINT(-11164525.835715491 5524461.520754504)
PIT,Greater Pittsburgh Int'l,6,major,POINT(-8934071.419685839 4938291.210183067)
PPG,Pago Pago Int'l,6,mid,POINT(-19003718.41285743 -1611996.4852122897)
BHX,Birmingham Int'l,6,major,POINT(-192998.1304997863 6882435.083284423)
ROB,Roberts Int'l,6,mid,POINT(-1152500.1711332249 696216.3320630078)
RPR,Raipur,6,mid,POINT(9099297.210737927 2414069.4006553018)
SAL,El Salvador Int'l,6,mid,POINT(-9913802.55280452 1510589.7948265967)
SAN,San Diego Int'l,6,major,POINT(-13046367.24962344 3859820.2444341164)
SAT,San Antonio Int'l,6,major,POINT(-10961849.557716547 3442845.280307546)
SAV,Savannah Int'l,6,major,POINT(-9040251.926102847 3781128.8879454345)
SCU,Antonio Maceo,6,mid,POINT(-8442457.687705172 2269765.034226519)
SLP,Ponciano Arriaga Int'l,6,mid,POINT(-11236197.312973397 2542254.4548414224)
SMF,Sacramento Int'l,6,major,POINT(-13535102.5444142 4677751.995727176)
STI,Cibao Int'l,6,mid,POINT(-7869639.932903658 2209868.2184448238)
SVX,Koltsovo,6,major,POINT(6768871.065442893 7705587.7723963475)
SYR,Syracuse Hancock Int'l,6,major,POINT(-8472869.196888562 5332052.351045366)
TBZ,Tabriz,6,mid,POINT(5147937.944627146 4597963.95987773)
TRC,Torreon Int'l,6,mid,POINT(-11510300.409719147 2945083.230322099)
TUL,Tulsa Int'l,6,major,POINT(-10674412.866695007 4326814.267148107)
TYS,Mcghee Tyson,6,major,POINT(-9349717.11130138 4273924.972021594)
UFA,Ufa Int'l,6,major,POINT(6220987.0330724865 7277920.512101227)
UVF,Hewanorra Int'l,6,mid,POINT(-6784920.044200947 1544005.8226310255)
WDH,Windhoek Hosea Kutako Int'l,6,mid,POINT(1943997.4151090814 -2570091.085152095)
YAM,Sault Ste Marie,6,mid,POINT(-9406564.76559836 5858481.891514792)
YDQ,Dawson Cr.,6,mid,POINT(-13378999.305004613 7506713.833720897)
YEG,Edmonton Int'l,6,major,POINT(-12644167.874282043 7040025.029325383)
YHZ,Halifax Int'l,6,major,POINT(-7070453.58940109 5603678.038233298)
YKA,Kamloops,6,mid,POINT(-13407512.584182765 6569310.967237297)
YSB,Sudbury,6,mid,POINT(-8994144.506948028 5880713.333772309)
YSJ,Saint John,6,mid,POINT(-7334903.294303742 5673501.878975562)
YXS,Prince George,6,mid,POINT(-13656008.854867056 7148264.7668254785)
YYJ,Victoria Int'l,6,major,POINT(-13740234.272035994 6214085.427919952)
ZAM,Zamboanga Int'l,6,mid,POINT(13587927.81103305 772183.3765967496)
ZGC,Lanzhou Zhongchuan,6,mid,POINT(11534415.276547482 4370732.390306705)
ALB,Albany Int'l,6,mid,POINT(-8216419.467543748 5273338.785275772)
MKE,General Mitchell Int'l,6,major,POINT(-9785217.637839831 5304048.077202676)
SYX,Sanya Phoenix Int'l,6,major,POINT(12179269.508735549 2073759.6077127168)
LXA,Lhasa Gonggar,6,mid,POINT(10119004.165502802 3413080.0215534503)
HTN,Hotan,6,mid,POINT(8891343.82250943 4444688.808475181)
DRS,Dresden,6,major,POINT(1532309.1332567444 6643450.815136505)
QNJ,Annemasse,6,mid,POINT(697406.6860926346 5811770.492153249)
NOG,Nogales Int'l,6,mid,POINT(-12353426.827246323 3662074.208101043)
SXB,Strasbourg,6,mid,POINT(849127.4836056725 6197956.03352781)
CGN,Cologne/Bonn,6,major,POINT(792857.4612004214 6599787.453002975)
PUS,Kimhae Int'l,6,major,POINT(14354514.907917595 4187046.214216792)
CJU,Jeju Int'l,6,major,POINT(14080983.774638996 3965160.3238162454)
SVG,Stavanger Sola,6,major,POINT(626707.6191673423 8154959.856244158)
TRD,Trondheim Vaernes,6,major,POINT(1215253.6773149248 9216940.83464713)
CMG,Corumbá Int'l,6,mid,POINT(-6419083.467902136 -2156603.837024819)
FNC,Madeira,6,mid,POINT(-1867455.4190140315 3854673.5716768354)
IGU,Foz do Iguaçu Int'l,6,mid,POINT(-6065642.345935367 -2949337.010288327)
PVH,Gov. Jorge Teixeira de Oliveira Int'l,6,mid,POINT(-7113144.308019985 -973847.2772337806)
BIO,Bilbao,6,mid,POINT(-323504.4720013238 5358524.47907067)
PMI,Palma de Mallorca,6,major,POINT(303899.60521291156 4803041.199542769)
TFN,Tenerife N.,6,major,POINT(-1819663.7480067087 3310586.338264019)
GOT,Gothenburg,6,major,POINT(1368542.5514391668 7901590.990691348)
LLA,Lulea,6,major,POINT(2462724.114293375 9754498.931349153)
AUH,Abu Dhabi Int'l,6,major,POINT(6083201.553908446 2805554.6889186236)
CZL,Mohamed Boudiaf Int'l,6,mid,POINT(737151.7293399558 4339692.82560165)
ASW,Aswan Int'l,6,mid,POINT(3653999.6398335784 2749542.9443677575)
RVN,Rovaniemi,6,mid,POINT(2875320.2169282665 10031697.623810166)
GEO,Cheddi Jagan Int'l,6,mid,POINT(-6484818.885129661 724971.6536276314)
COK,Cochin Int'l,6,major,POINT(8503753.771157987 1136428.3072449402)
EDL,Eldoret Int'l,6,mid,POINT(3921083.575946768 45092.72602596125)
ICN,Incheon Int'l,6,major,POINT(14076447.124545597 4501907.048961273)
CUL,Federal de Bachigualato Int'l,6,mid,POINT(-11963490.513047652 2847128.8221669463)
BRU,Brussels,5,major,POINT(499227.8772678698 6603146.459346397)
ABV,Abuja Int'l,5,major,POINT(809321.6344269889 1006514.3393965173)
ACV,Arcata-Eureka,5,mid,POINT(-13815535.337549312 5008201.421188738)
AUS,Austin-Bergstrom Int'l,5,major,POINT(-10872222.536025645 3529555.5113469767)
AYT,Antalya,5,major,POINT(3428924.4754565703 4427310.511050465)
BFS,Belfast Int'l,5,major,POINT(-691980.8164504651 7296456.465229552)
BGY,Orio Al Serio,5,major,POINT(1079678.5789416616 5726906.131400019)
BKI,Kota Kinabalu Int'l,5,mid,POINT(12918748.008068882 660511.0352292418)
BLR,Bengaluru Int'l,5,major,POINT(8650588.425101113 1482660.900483537)
CBR,Canberra Int'l,5,major,POINT(16607839.494337387 -4205705.194211562)
CMH,Port Columbus Int'l,5,major,POINT(-9226608.086035373 4865668.824096434)
CMN,Mohamed V Int'l,5,major,POINT(-843963.8203070451 3945149.052797037)
DUS,Düsseldorf Int'l,5,major,POINT(753070.173213446 6670649.207078674)
ESB,Esenboğa Int'l,5,major,POINT(3672765.081531403 4882686.472655303)
HLZ,Hamilton Int'l,5,mid,POINT(19518338.88750571 -4560490.963686959)
HYD,Rajiv Gandhi Int'l,5,major,POINT(8730736.025647417 1948312.2526838314)
JFK,John F Kennedy Int'l,5,major,POINT(-8213856.333664716 4960260.200711149)
KBP,Boryspil Int'l,5,major,POINT(3439233.719799671 6505524.780690998)
KRT,Khartoum,5,major,POINT(3623466.4902241807 1757547.5872633066)
MSN,Dane Cty. Reg. (Truax Field),5,major,POINT(-9945927.267286837 5332742.418426139)
MSQ,Minsk Int'l,5,major,POINT(3120752.126812064 7149233.820337807)
PMO,Palermo,5,major,POINT(1458901.0362557853 4605782.259097994)
PVD,T.F. Green,5,mid,POINT(-7952195.115392729 5120023.826151223)
RSW,Southwest Florida Int'l,5,major,POINT(-9100938.677789772 3064615.4819997395)
SHE,Shenyang Taoxian Int'l,5,major,POINT(13746618.432678014 5106428.650843387)
SHJ,Sharjah Int'l,5,major,POINT(6180514.589518913 2915248.2277230374)
SJC,San Jose Int'l,5,major,POINT(-13573121.947161395 4490734.915231283)
SNA,John Wayne,5,major,POINT(-13120280.96415105 3985845.5583448987)
STR,Stuttgart,5,major,POINT(1023465.9536564335 6222441.373772455)
SYQ,Nacional Tobías Bolaños,5,mid,POINT(-9366267.131882029 1114174.215609692)
SZX,Shenzhen Bao'an Int'l,5,major,POINT(12669922.772452988 2589325.3338162964)
SDF,Louisville Int'l,5,major,POINT(-9544722.690962108 4605737.732605023)
GVA,Geneva,5,major,POINT(679933.413380882 5817446.253277886)
LYS,Lyon-Saint Exupery,5,mid,POINT(565051.5367897527 5735754.425198433)
KIX,Kansai Int'l,5,major,POINT(15055344.3944834 4087334.751755599)
LIS,Lisbon Portela,5,major,POINT(-1016424.252233458 4688888.236573916)
CNF,Tancredo Neves Int'l,5,major,POINT(-4894003.508365724 -2229579.2920284085)
BMA,Bromma,5,mid,POINT(1997697.0065920444 8257643.750388128)
SUB,Juanda Int'l,5,major,POINT(12554282.06428334 -824220.7126577058)
MDQ,Astor Piazzolla Int'l,5,mid,POINT(-6409956.071233664 -4569995.781535456)
GCM,Owen Roberts Int'l,5,major,POINT(-9056694.465125477 2189805.779300135)
CGO,Zhengzhou Xinzheng Int'l,5,major,POINT(12672814.691606456 4099692.461673756)
DLC,Dalian Zhoushuizi Int'l,5,major,POINT(13529649.993568424 4716168.331747865)
HER,Heraklion Int'l,5,major,POINT(2802363.0755655468 4209759.612251141)
TBS,Tbilisi Int'l,5,major,POINT(5005438.002564791 5111591.3559101885)
XXC,Cascais,5,mid,POINT(-1041347.3496455223 4682147.39413741)
KHH,Kaohsiung Int'l,4,major,POINT(13396761.523445146 2580305.254992591)
SKO,Sadiq Abubakar III,4,mid,POINT(578886.5281774073 1450306.3955330413)
UIO,Mariscal Sucre Int'l,4,mid,POINT(-8737466.003542578 -16202.837421707412)
KHI,Karachi Civil,4,mid,POINT(7475340.734641231 2863285.7669967795)
KIV,Kishinev S.E.,4,mid,POINT(3221146.21311236 5931334.246820844)
LIM,Jorge Chávez,4,major,POINT(-8583574.949268589 -1348407.577723065)
YQT,Thunder Bay Int'l,4,mid,POINT(-9942182.182879409 6168947.109715085)
VNO,Vilnius,4,major,POINT(2814236.4820729117 7292896.273539033)
XIY,Hsien Yang,4,major,POINT(12106641.539417576 4088434.13068678)
NTR,Del Norte Int'l,4,mid,POINT(-11158486.998785185 2981736.0350810615)
TBU,Fua'amotu Int'l,4,mid,POINT(-19496009.707956623 -2421547.4825201)
IFN,Esfahan Int'l,4,mid,POINT(5774853.506151178 3861648.6978803067)
HRE,Harare Int'l,4,mid,POINT(3462192.0109579186 -2028514.3953444536)
KWI,Kuwait Int'l,4,major,POINT(5340161.011103197 3406187.448098151)
YOW,Macdonald-Cartier Int'l,4,major,POINT(-8422977.402770454 5672061.751251567)
KBL,Kabul Int'l,4,mid,POINT(7704430.153932341 4104705.8192228535)
ABJ,Abidjan Port Bouet,4,mid,POINT(-437732.64923689933 585738.5549131387)
ACA,General Juan N Alvarez Int'l,4,major,POINT(-11104621.097451538 1893134.144431517)
ACC,Kotoka Int'l,4,major,POINT(-19080.478612675117 625164.9555515812)
ADD,Bole Int'l,4,mid,POINT(4318438.20565262 1003961.98704289)
ADE,Aden Int'l,4,mid,POINT(5012783.684754567 1440065.6190378706)
ADL,Adelaide Int'l,4,mid,POINT(15421322.992793165 -4155809.950948155)
ALA,Almaty Int'l,4,major,POINT(8572941.731988944 5364861.409593734)
ALG,Houari Boumediene,4,major,POINT(357566.3903251246 4397333.961514649)
ALP,Aleppo Int'l,4,major,POINT(4144128.6888790904 4326055.140346658)
AMD,Sardar Vallabhbhai Patel Int'l,4,mid,POINT(8084121.61879358 2640576.3496694164)
ANF,Cerro Moreno Int'l,4,mid,POINT(-7841455.23250036 -2686403.1434665117)
ASB,Ashkhabad Northwest,4,mid,POINT(6497046.966982166 4577286.332697623)
ASM,Yohannes Iv Int'l,4,mid,POINT(4331035.517420361 1723061.729802367)
ASU,Silvio Pettirossi Int'l,4,mid,POINT(-6402418.9325783895 -2905456.3343431936)
BDA,Bermuda Int'l,4,mid,POINT(-7202679.862234498 3810550.6844580285)
BEG,Surcin,4,major,POINT(2258815.4686191813 5593083.638402032)
BEY,Beirut Int'l,4,major,POINT(3951072.18915956 4005386.9057885306)
BHO,Bairagarh,4,mid,POINT(8609546.429699581 2666590.0416751173)
BKO,Bamako Sénou,4,mid,POINT(-884686.3022593991 1407150.750920686)
BNA,Nashville Int'l,4,major,POINT(-9647980.866827387 4318728.98384897)
BNE,Brisbane Int'l,4,major,POINT(17045268.97468119 -3171705.026698056)
BOI,Boise Air Terminal,4,major,POINT(-12937756.167030284 5398978.142473312)
BRW,Wiley Post Will Rogers Mem.,4,mid,POINT(-17451760.842927106 11501923.229607187)
BUF,Greater Buffalo Int'l,4,major,POINT(-8764405.765343236 5301936.494910232)
BUQ,Bulawayo,4,mid,POINT(3186247.9186200458 -2274875.31003813)
BWN,Brunei Int'l,4,major,POINT(12794296.285614245 551212.6610358991)
CAN,Guangzhou Baiyun Int'l,4,major,POINT(12612221.85073016 2679148.220264759)
CCP,Carriel Sur Int'l,4,mid,POINT(-8133236.455642944 -4407981.701992263)
CCU,Netaji Subhash Chandra Bose Int'l,4,major,POINT(9845095.878525952 2589190.441204464)
CGP,Chittagong,4,mid,POINT(10220766.844263365 2541033.9946976844)
CHC,Christchurch Int'l,4,major,POINT(19206917.506066456 -5386632.063747829)
CKY,Conakry,4,mid,POINT(-1516290.089455364 1070787.8551788528)
CLE,Hopkins Int'l,4,major,POINT(-9110213.535620524 5073182.834634756)
CLO,Alfonso Bonilla Aragón Int'l,4,mid,POINT(-8503147.260560917 394688.4893136592)
COO,Cotonou Cadjehon,4,mid,POINT(265363.4102164551 709253.9879953585)
COR,Ingeniero Ambrosio L.V. Taravella Int'l,4,mid,POINT(-7148082.293848249 -3673814.5723595982)
CTG,Rafael Nunez,4,mid,POINT(-8405994.675909493 1169219.3223426025)
CUN,Cancún,4,major,POINT(-9670815.8913069 2396672.2574249594)
CUU,General R F Villalobos Int'l,4,mid,POINT(-11796437.906151637 3338025.3503014464)
DAC,Zia Int'l Dhaka,4,mid,POINT(10063830.122687222 2734912.287256658)
DUR,Louis Botha,4,mid,POINT(3444860.4784031203 -3499169.190276895)
FBM,Lubumbashi Luano Int'l,4,mid,POINT(3064536.525946187 -1299173.7321592586)
FEZ,Saiss,4,mid,POINT(-554609.9977210398 4019477.066397836)
FIH,Kinshasa N Djili Int'l,4,mid,POINT(1719498.3187440601 -489078.6235351551)
FNA,Freetown Lungi,4,mid,POINT(-1469442.8461813862 962699.2713895586)
FNJ,Sunan,4,mid,POINT(13990112.802587004 4750385.930860793)
FRU,Vasilyevka,4,major,POINT(8289828.933824627 5320416.129324652)
GBE,Sir Seretse Khama Int'l,4,mid,POINT(2885888.8727273894 -2821560.5498353736)
GDL,Don Miguel Hidalgo Int'l,4,major,POINT(-11499388.694471747 2335291.916174427)
GLA,Glasgow Int'l,4,major,POINT(-493332.13497472147 7531425.677465869)
GUA,La Aurora,4,mid,POINT(-10077773.662741432 1641782.3913222759)
GYE,Simon Bolivar Int'l,4,mid,POINT(-8892981.234559957 -240321.9210915182)
HAN,Noi Bai,4,major,POINT(11778020.624519257 2417481.0019598627)
HAV,José Martí Int'l,4,major,POINT(-9173552.10200181 2631698.5715378257)
HBE,Borg El Arab Int'l,4,mid,POINT(3305372.4611101435 3622152.6313410117)
JED,King Abdul Aziz Int'l,4,major,POINT(4358213.688462168 2472032.7516484386)
KAN,Kano Mallam Aminu Int'l,4,mid,POINT(948679.9717885901 1350910.618957436)
KHG,Kashi,4,mid,POINT(8461730.10186632 4799026.553333653)
KIN,Norman Manley Int'l,4,major,POINT(-8546964.648042452 2030243.1181430449)
KTM,Tribhuvan Int'l,4,mid,POINT(9501913.308235684 3211238.4485011543)
LAD,Luanda 4 de Fevereiro,4,mid,POINT(1473290.7236730263 -988928.4553551358)
LED,Pulkovo 2,4,major,POINT(3373770.677315162 8356540.564011781)
LHE,Allama Iqbal Int'l,4,mid,POINT(8283381.384422085 3700549.0056644054)
LLW,Kamuzu Int'l,4,mid,POINT(3760682.8136171373 -1549976.8890777947)
LOS,Lagos Murtala Muhammed,4,major,POINT(369705.8718163213 733902.6348314694)
LPB,El Alto Int'l,4,mid,POINT(-7589540.858655074 -1863845.88440594)
LUN,Lusaka Int'l,4,mid,POINT(3166543.5091625582 -1726897.713806871)
LXR,Luxor,4,mid,POINT(3640514.3787480188 2958640.933926492)
MAA,Chennai Int'l,4,major,POINT(8923790.721397618 1457736.4547069867)
MAR,La Chinita Int'l,4,mid,POINT(-7984253.421644532 1181766.0034481264)
MDE,José María Córdova,4,mid,POINT(-8396490.305061044 688284.7554102064)
MEM,Memphis Int'l,4,major,POINT(-10016709.013641983 4169917.9414620516)
MGA,Augusto Cesar Sandino Int'l,4,mid,POINT(-9592543.525229517 1362173.336649747)
MHD,Mashhad,4,major,POINT(6639338.705659545 4331977.286739136)
MIA,Miami Int'l,4,major,POINT(-8936614.265272027 2973705.5605749027)
MID,Lic M Crecencio Rejon Int'l,4,mid,POINT(-9981242.127203269 2383993.8907446656)
MLA,Luqa,4,major,POINT(1613605.4581007103 4279854.343021202)
MBA,Moi Int'l,4,major,POINT(4408548.300038625 -449283.9321265271)
MSU,Moshoeshoe I Int'l,4,mid,POINT(3067877.8954956117 -3433759.170427422)
MSY,New Orleans Int'l,4,major,POINT(-10047329.210982308 3501636.5492488067)
MVD,Carrasco Int'l,4,major,POINT(-6236856.606664128 -4142301.2089914605)
MZT,General Rafael Buelna Int'l,4,mid,POINT(-11829924.136495678 2652178.0890191356)
NAS,Nassau Int'l,4,major,POINT(-8623347.347921519 2881726.410002533)
NDJ,Ndjamena,4,mid,POINT(1673470.874236594 1360454.4521161444)
NIM,Niamey,4,mid,POINT(242376.6744629448 1514253.6866089322)
CEB,Mactan-Cebu Int'l,4,major,POINT(13801294.122495249 1154613.0887848875)
NOV,Nova Lisboa,4,mid,POINT(1753255.46880754 -1437182.0224418598)
OMA,Eppley Airfield,4,mid,POINT(-10675474.133706558 5056650.0074564)
OME,Nome,4,mid,POINT(-18416879.31141433 9479752.238161596)
OUA,Ouagadougou,4,mid,POINT(-168516.04201913223 1385974.7608973612)
