abbrev:keyword,airport:text,region:text,city:keyword,city_location:geo_point,city_boundary:geo_shape
FIH,Kinshasa N Djili Int'l,Kinshasa,Kinshasa,POINT(15.3222 -4.325),"POLYGON((15.1271 -4.4429\,15.3323 -4.6461\,15.649 -4.5855\,15.6498 -4.9682\,15.83 -5.03\,15.8709 -4.8601\,16.2618 -4.9926\,16.5341 -4.358\,15.946 -3.9276\,15.5527 -4.0427\,15.1271 -4.4429))"
FLG,Flagstaff Pulliam,Flagstaff,Flagstaff,POINT(-111.6194 35.1872),"POLYGON((-111.7089 35.1807\,-111.7013 35.1515\,-111.6862 35.1516\,-111.686 35.1224\,-111.5977 35.123\,-111.5982 35.1525\,-111.5594 35.152\,-111.5599 35.1667\,-111.5246 35.1737\,-111.5068 35.2106\,-111.5828 35.2207\,-111.6195 35.1967\,-111.6405 35.1922\,-111.5819 35.2217\,-111.5245 35.215\,-111.5259 35.2387\,-111.6315 35.2326\,-111.6488 35.2178\,-111.6625 35.2217\,-111.6566 35.2396\,-111.7014 35.2395\,-111.7012 35.1931\,-111.6849 35.1967\,-111.6631 35.1953\,-111.6871 35.1949\,-111.7089 35.1807)\,(-111.6782 35.1879\,-111.675 35.1919\,-111.675 35.188\,-111.6782 35.1879))"
FLL,Fort Lauderdale Hollywood Int'l,Hollywood,Hollywood,POINT(-80.1679 26.0293),"POLYGON((-80.2488 26.031\,-80.2326 26.0314\,-80.2397 26.0112\,-80.2135 26.0101\,-80.2203 25.9952\,-80.12 25.9975\,-80.1172 25.987\,-80.1054 26.0934\,-80.1357 26.0928\,-80.1301 26.0339\,-80.1863 26.0492\,-80.1937 26.0677\,-80.1752 26.0718\,-80.1813 26.0834\,-80.1997 26.0629\,-80.1946 26.0471\,-80.2078 26.0659\,-80.2088 26.043\,-80.2045 26.0358\,-80.2309 26.0452\,-80.2488 26.031)\,(-80.2051 26.0469\,-80.2066 26.0487\,-80.2051 26.048\,-80.2051 26.0469)\,(-80.1942 26.0471\,-80.1926 26.049\,-80.1927 26.0471\,-80.1942 26.0471))"
FLN,Hercilio Luz Int'l,Florianópolis,Florianópolis,POINT(-48.4853 -27.6122),"POLYGON((-48.613 -27.614\,-48.594 -27.641\,-48.605 -27.673\,-48.588 -27.751\,-48.601 -27.777\,-48.568 -27.847\,-48.5426 -27.8277\,-48.5269 -27.7867\,-48.4938 -27.7941\,-48.4757 -27.7703\,-48.5063 -27.7469\,-48.5029 -27.7163\,-48.4314 -27.6161\,-48.4119 -27.5747\,-48.4285 -27.5679\,-48.4247 -27.5394\,-48.3586 -27.4402\,-48.3912 -27.4353\,-48.4165 -27.3805\,-48.4835 -27.3783\,-48.5166 -27.3999\,-48.541 -27.436\,-48.5843 -27.4531\,-48.59 -27.485\,-48.568 -27.545\,-48.5996 -27.5733\,-48.613 -27.614))"
FNA,Freetown Lungi,Port Loko District,Port Loko,POINT(-12.7875 8.7667),"POLYGON((-13.2486 8.806\,-12.9317 8.2598\,-12.2847 8.5724\,-12.5152 9.0263\,-13.2486 8.806))"
FNJ,Sunan,중구역,Pyongyang,POINT(125.7381 39.0194),"POLYGON((125.7219 38.9899\,125.7419 38.987\,125.7512 38.9924\,125.7861 39.0528\,125.7258 39.0233\,125.7432 38.9955\,125.7219 38.9899))"
FOC,Fuzhou Changle Int'l,鼓楼区,Fuzhou,POINT(119.2917 26.0769),"POLYGON((119.2401 26.0975\,119.2673 26.0618\,119.3179 26.0728\,119.3012 26.1222\,119.2623 26.1221\,119.2401 26.0975))"
FOR,Pinto Martins Int'l,Fortaleza,Fortaleza,POINT(-38.5275 -3.7275),"POLYGON((-38.6379 -3.8014\,-38.519 -3.8647\,-38.5311 -3.8794\,-38.514 -3.8945\,-38.4499 -3.8379\,-38.4429 -3.8016\,-38.4014 -3.8266\,-38.4604 -3.7052\,-38.4824 -3.6986\,-38.4761 -3.7191\,-38.493 -3.7247\,-38.5812 -3.6921\,-38.6218 -3.7025\,-38.5989 -3.7423\,-38.6379 -3.8014))"
FPO,Freeport Int'l,City of Freeport,Freeport City,POINT(-78.6967 26.5286),"POLYGON((-78.9267 26.369\,-78.8552 26.324\,-78.734 26.291\,-78.621 26.298\,-78.5515 26.32\,-78.5091 26.345\,-78.6165 26.5255\,-78.4991 26.3485\,-78.3686 26.402\,-78.3055 26.412\,-78.3995 26.7232\,-78.4884 26.7176\,-78.6206 26.6554\,-78.6802 26.6152\,-78.6877 26.585\,-78.7818 26.5428\,-78.7911 26.4998\,-78.9267 26.369)\,(-78.7697 26.5125\,-78.7717 26.5175\,-78.768 26.5136\,-78.7697 26.5125)\,(-78.7693 26.5103\,-78.7416 26.5059\,-78.7235 26.4972\,-78.7286 26.4939\,-78.7693 26.5103)\,(-78.6868 26.4916\,-78.6769 26.4964\,-78.6687 26.4968\,-78.6868 26.4916)\,(-78.5985 26.5308\,-78.5974 26.5347\,-78.5956 26.5327\,-78.5985 26.5308)\,(-78.5903 26.5361\,-78.5914 26.5401\,-78.5876 26.5376\,-78.5903 26.5361))"
FRA,Frankfurt Int'l,Frankfurt am Main,Frankfurt,POINT(8.6822 50.1106),"POLYGON((8.4728 50.0998\,8.5204 50.0618\,8.5257 50.0839\,8.5498 50.0669\,8.5533 50.0489\,8.5198 50.0368\,8.52 50.0208\,8.592 50.0177\,8.5985 50.0423\,8.6246 50.0551\,8.725 50.0617\,8.7502 50.0965\,8.7255 50.1085\,8.7798 50.1111\,8.7692 50.1316\,8.8004 50.1712\,8.7688 50.1798\,8.723 50.1635\,8.702 50.1805\,8.735 50.2156\,8.7093 50.2271\,8.5879 50.1682\,8.6027 50.157\,8.5933 50.1398\,8.4728 50.0998))"
FRS,Mundo Maya Int'l,El Chal,El Chal,POINT(-89.65 16.6333),"POLYGON((-89.9073 16.5645\,-89.92 16.3901\,-89.9022 16.4056\,-89.9121 16.3457\,-89.8868 16.328\,-89.8568 16.3265\,-89.8189 16.3695\,-89.8145 16.4026\,-89.7755 16.4263\,-89.6693 16.438\,-89.6402 16.4165\,-89.6398 16.459\,-89.5914 16.4656\,-89.5781 16.4495\,-89.5744 16.4969\,-89.548 16.4956\,-89.5471 16.5704\,-89.5681 16.5922\,-89.5343 16.6224\,-89.5423 16.6464\,-89.5202 16.664\,-89.6214 16.7039\,-89.6548 16.6446\,-89.6954 16.6239\,-89.7331 16.6595\,-89.7615 16.6422\,-89.8173 16.6521\,-89.831 16.6017\,-89.8227 16.5769\,-89.9073 16.5645))"
FRU,Vasilyevka,Свердлов району,Bishkek,POINT(74.6122 42.8747),"POLYGON((74.5965 42.8837\,74.6118 42.885\,74.6109 42.8635\,74.7177 42.8659\,74.6566 42.881\,74.6507 42.9093\,74.6465 42.8933\,74.6313 42.895\,74.6265 42.9287\,74.6408 42.9426\,74.6171 42.9487\,74.6277 42.9716\,74.6027 42.9534\,74.6107 42.9294\,74.5965 42.8837))"
FSD,Sioux Falls Reg.,Sioux Falls Township,Sioux Falls,POINT(-96.7311 43.5396),"POLYGON((-96.7711 43.5874\,-96.771 43.5003\,-96.6514 43.5003\,-96.6515 43.5874\,-96.7711 43.5874))"
FUK,Fukuoka,中央区,Fukuoka,POINT(130.4 33.5833),"POLYGON((130.3439 33.6201\,130.3767 33.5625\,130.3955 33.5582\,130.4154 33.5768\,130.3786 33.6286\,130.3439 33.6201))"
FUN,Funafuti Int'l,Funafuti,Funafuti,POINT(179.2 -8.5167),"POLYGON((178.5777 -8.5067\,178.9373 -8.7927\,179.2604 -9.1227\,179.6681 -8.7743\,179.3343 -8.3164\,179.3125 -8.291\,179.2986 -8.2786\,179.2805 -8.2655\,178.9018 -8.0211\,178.5777 -8.5067))"
GAU,Lokpriya G. Bordoloi Int'l,Guwahati,Guwāhāti,POINT(91.7458 26.1722),"POLYGON((91.6269 26.1229\,91.7103 26.1116\,91.7384 26.1595\,91.8045 26.1826\,91.8197 26.2098\,91.726 26.1724\,91.6496 26.1662\,91.6269 26.1229))"
GBE,Sir Seretse Khama Int'l,South-East District,Gaborone,POINT(25.9122 -24.6581),"POLYGON((25.539 -25.4358\,25.6636 -25.4679\,25.7017 -25.2892\,25.7289 -25.257\,25.86 -24.924\,25.8825 -24.9149\,25.8761 -24.8903\,25.889 -24.8822\,25.8732 -24.8278\,25.8427 -24.79\,25.8484 -24.7539\,25.9558 -24.7477\,26.1886 -24.6868\,26.1506 -24.6467\,26.033 -24.5796\,25.9728 -24.5126\,25.8736 -24.5822\,25.9027 -24.5984\,25.7891 -24.7328\,25.7156 -24.7872\,25.709 -24.8535\,25.6338 -24.8857\,25.6609 -24.9117\,25.5998 -25.0218\,25.6683 -25.0279\,25.539 -25.4358))"
GDL,Don Miguel Hidalgo Int'l,San Pedro Tlaquepaque,Tlaquepaque,POINT(-103.3167 20.6167),"POLYGON((-103.4578 20.5495\,-103.4356 20.5385\,-103.4321 20.5588\,-103.3988 20.5513\,-103.3632 20.5726\,-103.3609 20.5556\,-103.3317 20.5538\,-103.3189 20.5852\,-103.2543 20.5649\,-103.2404 20.5832\,-103.2601 20.5876\,-103.2573 20.6118\,-103.2829 20.613\,-103.2822 20.6412\,-103.3207 20.6463\,-103.3403 20.6094\,-103.3873 20.6037\,-103.3966 20.6366\,-103.4018 20.6196\,-103.4231 20.6204\,-103.4181 20.5887\,-103.4578 20.5495))"
GDN,Gdansk Lech Walesa,Gdańsk,Gdańsk,POINT(18.6453 54.3475),"POLYGON((18.4295 54.385\,18.4471 54.3765\,18.4411 54.3574\,18.4684 54.3475\,18.4569 54.3323\,18.488 54.317\,18.5014 54.3341\,18.5342 54.3356\,18.54 54.3141\,18.6058 54.2987\,18.6048 54.2785\,18.6368 54.275\,18.6393 54.291\,18.6909 54.3016\,18.6874 54.3134\,18.7054 54.3128\,18.7279 54.3415\,18.7641 54.3333\,18.7929 54.3465\,18.8731 54.3104\,18.9091 54.3129\,18.9407 54.2802\,18.9337 54.3105\,18.9496 54.363\,18.8885 54.3475\,18.7793 54.3744\,18.7797 54.3997\,18.8981 54.3997\,18.8981 54.4664\,18.6431 54.4664\,18.6511 54.4081\,18.5916 54.4304\,18.5069 54.4229\,18.4538 54.4472\,18.4373 54.4394\,18.4579 54.436\,18.4417 54.4079\,18.4655 54.4077\,18.4654 54.3999\,18.4295 54.385))"
GDT,JAGS McCartney Int'l,Grand Turk,Grand Turk,POINT(-71.136 21.4664),"POLYGON((-71.1536 21.4452\,-71.1431 21.4225\,-71.1314 21.4307\,-71.1268 21.436\,-71.1273 21.441\,-71.1321 21.4435\,-71.1277 21.4438\,-71.1261 21.4492\,-71.1312 21.4723\,-71.13 21.4919\,-71.1312 21.5134\,-71.1352 21.5116\,-71.1377 21.5069\,-71.1437 21.5061\,-71.1491 21.4976\,-71.1503 21.4852\,-71.1466 21.4647\,-71.149 21.456\,-71.1536 21.4488\,-71.1536 21.4452))"
GEG,Spokane Int'l,Spokane,Spokane,POINT(-117.433 47.6671),"POLYGON((-117.604 47.6138\,-117.5541 47.6017\,-117.472 47.6371\,-117.4645 47.6138\,-117.4301 47.6137\,-117.4473 47.5944\,-117.4001 47.5868\,-117.3951 47.6059\,-117.3411 47.6128\,-117.3468 47.6671\,-117.3039 47.6938\,-117.3467 47.6764\,-117.3351 47.7005\,-117.3789 47.7185\,-117.3952 47.7511\,-117.4219 47.726\,-117.4126 47.7151\,-117.4324 47.7154\,-117.4304 47.7441\,-117.47 47.73\,-117.4749 47.7588\,-117.5212 47.7587\,-117.4968 47.7316\,-117.5144 47.7245\,-117.4993 47.7196\,-117.4967 47.6943\,-117.4669 47.6913\,-117.4805 47.6805\,-117.4645 47.6538\,-117.5503 47.6466\,-117.5608 47.6283\,-117.6039 47.6283\,-117.604 47.6138))"
GEO,Cheddi Jagan Int'l,Rest of Region 7,Bartica,POINT(-58.6167 6.4),"POLYGON((-61.3785 5.9527\,-60.7182 5.9358\,-60.573 6.4217\,-60.4675 5.9405\,-60.273 5.9119\,-60.3775 5.6871\,-60.113 5.4926\,-59.6111 5.3902\,-59.5834 5.5817\,-59.2317 5.7256\,-58.8752 5.3958\,-58.6281 5.5166\,-58.5697 6.2585\,-58.6178 6.5083\,-58.8426 6.5583\,-58.9872 6.8698\,-59.9008 7.202\,-60.1019 7.0654\,-60.2938 7.1338\,-60.7184 6.7553\,-61.1395 6.7211\,-61.2321 6.5702\,-61.0022 6.4438\,-61.0478 6.2292\,-61.168 6.3797\,-61.1255 6.1911\,-61.3785 5.9527)\,(-58.6413 6.3595\,-58.6308 6.4112\,-58.6171 6.4069\,-58.6413 6.3595))"
GGT,Exuma Int'l,New Providence,Nassau,POINT(-77.3386 25.0781),"POLYGON((-77.7742 25.1466\,-77.6445 24.8079\,-77.3345 24.7901\,-76.8322 25.0965\,-76.9078 25.2421\,-77.2001 25.559\,-77.7742 25.1466))"
GIG,Rio de Janeiro-Antonio Carlos Jobim Int'l,Rio de Janeiro,Rio de Janeiro,POINT(-43.2056 -22.9111),"POLYGON((-43.7963 -22.9192\,-43.6898 -22.992\,-43.6743 -22.9805\,-43.5991 -23.0229\,-43.6678 -23.0532\,-43.589 -23.0534\,-43.5532 -23.0764\,-43.5348 -23.0505\,-43.4386 -23.021\,-43.2865 -23.0165\,-43.2232 -22.9878\,-43.1897 -22.9907\,-43.1502 -22.9508\,-43.1521 -22.9386\,-43.1805 -22.948\,-43.1619 -22.9047\,-43.2108 -22.8976\,-43.2013 -22.8715\,-43.2267 -22.8741\,-43.2728 -22.8098\,-43.3082 -22.7999\,-43.37 -22.8053\,-43.4581 -22.849\,-43.4901 -22.8155\,-43.5594 -22.8289\,-43.5885 -22.8387\,-43.5929 -22.8605\,-43.6441 -22.8557\,-43.7482 -22.8779\,-43.7948 -22.9035\,-43.7963 -22.9192))"
GLA,Glasgow Int'l,Renfrewshire,Paisley,POINT(-4.4239 55.8456),"POLYGON((-4.784 55.8415\,-4.7224 55.8208\,-4.7205 55.8051\,-4.6857 55.8037\,-4.6611 55.7597\,-4.6505 55.7609\,-4.6387 55.7748\,-4.6338 55.776\,-4.6166 55.7615\,-4.5747 55.7835\,-4.5517 55.7663\,-4.4952 55.8014\,-4.4282 55.8016\,-4.3855 55.8183\,-4.368 55.8454\,-4.3809 55.8563\,-4.3534 55.8737\,-4.4841 55.9283\,-4.6099 55.9363\,-4.635 55.9137\,-4.6132 55.906\,-4.6192 55.889\,-4.5973 55.8624\,-4.6228 55.8616\,-4.6326 55.8411\,-4.7294 55.8533\,-4.784 55.8415))"
GLS,Scholes Int'l,Galveston,Galveston,POINT(-94.8913 29.2484),"POLYGON((-95.1299 29.0856\,-94.9702 28.9963\,-94.67 29.1795\,-94.6197 29.2283\,-94.5921 29.2948\,-94.5257 29.3303\,-94.6951 29.3994\,-94.7635 29.342\,-94.8335 29.3647\,-94.885 29.299\,-94.8986 29.3036\,-95.0896 29.1477\,-95.1299 29.0856)\,(-94.9779 29.1778\,-94.9837 29.2008\,-94.9694 29.1828\,-94.9779 29.1778))"
GMP,Gimpo Int'l,서울특별시,Seoul,POINT(126.99 37.56),"POLYGON((126.7644 37.5553\,126.7945 37.5357\,126.8221 37.5407\,126.8147 37.4746\,126.8452 37.4733\,126.8698 37.4957\,126.9029 37.4341\,126.9291 37.4502\,126.9389 37.4354\,126.9637 37.441\,126.9978 37.4677\,127.0146 37.4548\,127.0347 37.4641\,127.036 37.4391\,127.0525 37.4285\,127.1435 37.4739\,127.1615 37.5\,127.1406 37.5156\,127.1632 37.545\,127.1838 37.5455\,127.1771 37.5812\,127.1045 37.5556\,127.1184 37.6076\,127.1038 37.6219\,127.1111 37.6426\,127.092 37.6465\,127.0964 37.6889\,127.0155 37.7015\,126.9912 37.6793\,126.9816 37.6347\,126.9585 37.6294\,126.9476 37.6592\,126.9055 37.6489\,126.8999 37.5899\,126.8536 37.5718\,126.8026 37.605\,126.7644 37.5553))"
GND,Point Salines Int'l,Saint David,Saint David’s,POINT(-61.6806 12.0444),"POLYGON((-61.7261 12.0315\,-61.7108 12.0126\,-61.6991 12.0067\,-61.7073 12.0171\,-61.6754 12.0133\,-61.6322 12.0493\,-61.6766 12.0791\,-61.7015 12.0748\,-61.7261 12.0315))"
GOJ,Nizhny Novgorod Int'l,Нижегородский район,Nizhniy Novgorod,POINT(44.0075 56.3269),"POLYGON((43.9622 56.3118\,43.9684 56.299\,43.9701 56.3119\,44.0318 56.3199\,44.0557 56.3014\,44.0536 56.2766\,44.0769 56.2659\,44.0798 56.2818\,44.0973 56.2782\,44.0915 56.2908\,44.1192 56.2981\,44.0682 56.338\,43.9913 56.3364\,43.9622 56.3118))"
GOM,Goma Int'l,Goma,Goma,POINT(29.2336 -1.6794),"POLYGON((29.1153 -1.6214\,29.1373 -1.6422\,29.1585 -1.6339\,29.1692 -1.6633\,29.2448 -1.6981\,29.2434 -1.6683\,29.2601 -1.6523\,29.2007 -1.6497\,29.1504 -1.5951\,29.1153 -1.6214))"
GOT,Gothenburg,Centrum,Gothenburg,POINT(11.9675 57.7075),"POLYGON((11.8941 57.6889\,11.9492 57.6635\,11.9696 57.6775\,12.0885 57.6823\,12.0541 57.7338\,11.8941 57.6889))"
GOU,Garoua Int'l,Garoua I,Garoua,POINT(13.4 9.3),"POLYGON((13.3281 9.3288\,13.3393 9.2578\,13.3803 9.2557\,13.4054 9.2959\,13.3756 9.4179\,13.3281 9.3288))"
GRR,Gerald R. Ford Int'l,Kentwood,Kentwood,POINT(-85.5926 42.8852),"POLYGON((-85.6649 42.8876\,-85.6637 42.8549\,-85.5458 42.8545\,-85.5507 42.941\,-85.5803 42.9412\,-85.5686 42.9125\,-85.6126 42.9088\,-85.6065 42.8836\,-85.6649 42.8876))"
GRU,São Paulo-Guarulhos Int'l,Região Imediata de São Paulo,São Paulo,POINT(-46.6333 -23.55),"POLYGON((-47.2087 -23.9648\,-46.6502 -24.0015\,-45.6949 -23.6304\,-46.236 -23.186\,-46.4167 -23.3138\,-46.8029 -23.2574\,-47.0419 -23.3515\,-46.9842 -23.8027\,-47.2087 -23.9648))"
GUA,La Aurora,Ciudad de Guatemala,Guatemala City,POINT(-90.5252 14.6099),"POLYGON((-90.5667 14.6004\,-90.5797 14.5708\,-90.565 14.5878\,-90.5593 14.5868\,-90.5575 14.5425\,-90.5357 14.5364\,-90.5151 14.5744\,-90.4432 14.5944\,-90.4134 14.5883\,-90.3872 14.6373\,-90.3929 14.7052\,-90.44 14.7138\,-90.4799 14.6822\,-90.5143 14.6827\,-90.5384 14.6481\,-90.5717 14.635\,-90.5667 14.6004))"
GUM,Antonio B. Won Pat Int'l,Guam,Hagåtña,POINT(144.7504 13.4745),"POLYGON((144.5634 13.4481\,144.593 13.3924\,144.5776 13.344\,144.6084 13.2706\,144.5909 13.2393\,144.5962 13.2077\,144.6358 13.1825\,144.7406 13.1952\,144.818 13.2804\,144.8266 13.3814\,144.972 13.5\,145.0082 13.5862\,145.0031 13.6181\,144.8892 13.6982\,144.8385 13.7027\,144.7896 13.6533\,144.75 13.5519\,144.7255 13.5317\,144.6112 13.5102\,144.5634 13.4481))"
GVA,Geneva,Genève,Le Grand-Saconnex,POINT(6.1167 46.2333),"POLYGON((5.9559 46.1324\,5.9941 46.1446\,6.0354 46.1343\,6.0523 46.1514\,6.1365 46.1416\,6.2219 46.2007\,6.2947 46.2252\,6.3098 46.2562\,6.2602 46.2517\,6.2376 46.2776\,6.2529 46.2905\,6.2446 46.304\,6.2196 46.3119\,6.1969 46.2866\,6.1243 46.3173\,6.1024 46.2849\,6.1245 46.2513\,5.9746 46.215\,5.9637 46.197\,5.9949 46.1819\,5.9559 46.1324))"
GYD,Heydar Aliyev Int'l,Səbail rayonu,Baku,POINT(49.8352 40.3667),"POLYGON((49.7425 40.2903\,49.8861 40.0877\,49.9879 40.0574\,49.8495 40.3756\,49.7963 40.3572\,49.7813 40.318\,49.7425 40.2903))"
GYE,Simon Bolivar Int'l,Guayaquil,Guayaquil,POINT(-79.8875 -2.19),"POLYGON((-79.9591 -2.1872\,-79.9568 -2.2244\,-79.9307 -2.2454\,-79.9291 -2.2719\,-79.8722 -2.2854\,-79.8564 -2.2584\,-79.8824 -2.2222\,-79.8624 -2.1671\,-79.8925 -2.0836\,-79.887 -2.0529\,-79.9438 -2.0631\,-79.9451 -2.1753\,-79.9591 -2.1872))"
GYM,Gen. José M. Yáñez Int'l,Guaymas,Heroica Guaymas,POINT(-110.8989 27.9183),"POLYGON((-111.3889 28.2505\,-110.89 27.8397\,-110.6296 28.1418\,-110.5153 28.0281\,-110.5878 27.5165\,-110.153 27.5605\,-110.3153 28.1901\,-110.1327 28.131\,-110.0879 28.5709\,-110.5741 28.4542\,-110.8578 28.6312\,-111.3889 28.2505))"
GYN,Santa Genoveva,Goiânia,Goiânia,POINT(-49.25 -16.6667),"POLYGON((-49.447 -16.7164\,-49.4124 -16.7404\,-49.3868 -16.8313\,-49.3654 -16.8177\,-49.3348 -16.7505\,-49.2882 -16.7482\,-49.2616 -16.7256\,-49.2084 -16.7453\,-49.159 -16.7907\,-49.1424 -16.739\,-49.1569 -16.7153\,-49.1767 -16.7251\,-49.1969 -16.6919\,-49.1663 -16.6502\,-49.078 -16.593\,-49.096 -16.591\,-49.105 -16.561\,-49.167 -16.578\,-49.195 -16.517\,-49.176 -16.465\,-49.215 -16.4544\,-49.2795 -16.529\,-49.3115 -16.5306\,-49.3299 -16.5704\,-49.3758 -16.5785\,-49.3921 -16.5975\,-49.379 -16.629\,-49.4456 -16.6731\,-49.447 -16.7164))"
GYY,Gary/Chicago Int'l,West Chicago Township,Chicago,POINT(-87.6866 41.8375),"POLYGON((-87.7756 41.9093\,-87.7741 41.8655\,-87.74 41.866\,-87.7385 41.8221\,-87.6324 41.86\,-87.6443 41.897\,-87.6881 41.9395\,-87.7076 41.9394\,-87.7069 41.9101\,-87.7756 41.9093))"
GZT,Gaziantep Oğuzeli Int'l,Gaziantep,Gaziantep,POINT(37.3792 37.0628),"POLYGON((36.4621 36.8882\,36.7114 36.8257\,36.9937 37.0346\,37.3691 36.7238\,38.0185 36.826\,37.8409 37.2678\,38.0797 37.4611\,37.6388 37.5136\,37.0819 37.1995\,36.8906 37.3231\,36.4621 36.8882))"
HAH,Prince Said Ibrahim Int'l,Ngazidja القمر الكبرى,Moroni,POINT(43.256 -11.699),"POLYGON((43.2287 -11.7363\,43.2393 -11.7806\,43.2882 -11.8469\,43.3838 -11.8631\,43.4569 -11.9383\,43.4882 -11.9316\,43.5179 -11.894\,43.4672 -11.8236\,43.4511 -11.7369\,43.3959 -11.6454\,43.3987 -11.4882\,43.4166 -11.4357\,43.393 -11.375\,43.3421 -11.3656\,43.2779 -11.3986\,43.2632 -11.4495\,43.2782 -11.5026\,43.2602 -11.6006\,43.2663 -11.672\,43.2287 -11.7363))"
HAM,Hamburg,Norderstedt,Norderstedt,POINT(10.0103 53.7064),"POLYGON((9.9348 53.6785\,9.947 53.6518\,9.9858 53.6482\,9.9996 53.6815\,10.0693 53.6795\,10.0603 53.697\,10.0729 53.7097\,10.0332 53.7188\,10.0226 53.7497\,9.9833 53.7595\,9.9657 53.7287\,9.9551 53.7324\,9.9348 53.6785))"
HAN,Noi Bai,Thành phố Hà Nội,Hanoi,POINT(105.8542 21.0283),"POLYGON((105.289 21.157\,105.5815 20.9282\,105.6662 20.617\,105.9968 20.6781\,105.8571 21.376\,105.6263 21.1734\,105.3958 21.3045\,105.289 21.157))"
HAV,José Martí Int'l,La Habana,Havana,POINT(-82.3589 23.1367),"POLYGON((-82.6073 23.308\,-82.5468 23.0546\,-82.4918 23.075\,-82.4816 23.0322\,-82.5048 23.0197\,-82.4994 22.9999\,-82.4707 22.9702\,-82.4437 22.9875\,-82.4364 22.9405\,-82.4196 22.9511\,-82.3625 22.9369\,-82.3562 22.9657\,-82.2462 22.9536\,-82.2613 22.9781\,-82.1987 22.9968\,-82.2272 23.0146\,-82.2258 23.0638\,-82.1759 23.0584\,-82.147 23.0809\,-82.1023 23.0516\,-82.1143 23.0885\,-82.0933 23.0972\,-82.0959 23.1191\,-82.0814 23.1273\,-82.1068 23.1614\,-82.0885 23.3858\,-82.316 23.3728\,-82.6073 23.308))"
HBA,Hobart Int'l,Kingston,Kingston,POINT(147.3083 -42.9769),"POLYGON((147.2445 -42.9704\,147.2761 -43.002\,147.2896 -42.9874\,147.3098 -42.9977\,147.3352 -42.959\,147.3338 -42.9308\,147.3018 -42.926\,147.2691 -42.9534\,147.2612 -42.9417\,147.2445 -42.9704))"
HBE,Borg El Arab Int'l,الإسكندرية,Al ‘Ajamī,POINT(29.7604 31.0959),"POLYGON((29.4716 31.235\,29.5922 30.9907\,29.6174 30.3597\,29.7254 30.4649\,29.9907 30.5794\,29.9353 30.6985\,29.9619 30.7275\,29.8688 30.8693\,29.9143 30.8959\,30.0156 31.1085\,30.0931 31.1967\,30.0843 31.5903\,29.6603 31.3172\,29.4716 31.235))"
HBX,Hubli,Savadatti taluku,Saundatti,POINT(75.1167 15.7833),"POLYGON((74.8014 15.8802\,74.8224 15.837\,74.8652 15.8403\,74.9027 15.7913\,74.9533 15.7764\,74.9636 15.7258\,75.0041 15.7275\,75.0135 15.6881\,74.9957 15.6848\,74.9921 15.65\,75.0194 15.6439\,75.0283 15.6698\,75.0598 15.6821\,75.0563 15.6325\,75.0918 15.6079\,75.1082 15.672\,75.2027 15.6491\,75.2026 15.6815\,75.2363 15.679\,75.2491 15.647\,75.2737 15.6487\,75.2746 15.7404\,75.2996 15.7276\,75.3183 15.7449\,75.2713 15.8978\,75.2476 15.8994\,75.2292 15.8731\,75.1927 15.8618\,75.1801 15.8904\,75.1973 15.8893\,75.1948 15.9209\,75.1459 15.9219\,75.088 15.905\,75.0976 15.8863\,75.0558 15.8577\,74.9654 15.8732\,74.9931 15.9103\,74.9293 15.9446\,74.929 15.9736\,74.905 15.9789\,74.9045 16.0044\,74.8448 15.9856\,74.8315 15.9481\,74.8416 15.9007\,74.8014 15.8802))"
HDY,Hat Yai Int'l,จังหวัดสงขลา,Hat Yai,POINT(100.4667 7.0167),"POLYGON((100.0305 7.0916\,100.3659 6.5401\,100.7385 6.5104\,100.9197 6.3122\,101.1091 6.5967\,101.3258 8.1639\,100.1464 7.8692\,100.428 7.2839\,100.0305 7.0916))"
HEL,Helsinki Vantaa,Helsinki,Helsinki,POINT(24.9375 60.1708),"POLYGON((24.7828 60.1\,24.9423 59.9225\,25.1694 59.9434\,25.1768 60.0935\,25.2204 60.1997\,25.2014 60.2182\,25.2409 60.2463\,25.2273 60.2611\,25.2509 60.2735\,25.2545 60.2952\,25.1425 60.2698\,25.1599 60.2488\,25.1358 60.2372\,25.0824 60.2497\,25.088 60.2713\,25.021 60.2893\,24.9732 60.2644\,24.9475 60.2785\,24.8679 60.2524\,24.8347 60.2585\,24.8419 60.2212\,24.8514 60.225\,24.8357 60.1304\,24.7828 60.1))"
HEM,Helsinki-Malmi,Helsinki,Helsinki,POINT(24.9375 60.1708),"POLYGON((24.7828 60.1\,24.9423 59.9225\,25.1694 59.9434\,25.1768 60.0935\,25.2204 60.1997\,25.2014 60.2182\,25.2409 60.2463\,25.2273 60.2611\,25.2509 60.2735\,25.2545 60.2952\,25.1425 60.2698\,25.1599 60.2488\,25.1358 60.2372\,25.0824 60.2497\,25.088 60.2713\,25.021 60.2893\,24.9732 60.2644\,24.9475 60.2785\,24.8679 60.2524\,24.8347 60.2585\,24.8419 60.2212\,24.8514 60.225\,24.8357 60.1304\,24.7828 60.1))"
HER,Heraklion Int'l,Δημοτική Ενότητα Νέας Αλικαρνασσού,Néa Alikarnassós,POINT(25.1833 35.3167),"POLYGON((25.1533 35.3429\,25.1662 35.3067\,25.2034 35.2997\,25.1927 35.3414\,25.1533 35.3429))"
